"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,3.881,2.634,4.512,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"352",167,193,0.006,41,1.819,1.8244734203,1.819,0.997,29,NA,0,2.542,4.347,4.568,4.74,5,43,0.67,2.385,1.337,0,0,"14","F2"
"448",152,173,0.0175,25,1.798,1.5567099567,1.983,1.155,19,4.7425,0.185,2.282,4.147,4.092,5.02,14,24,0.79,NA,NA,0.1,0,"18","F2"
"782",160,193,0.0143,37.5,NA,NA,NA,NA,28,NA,NA,3.57,5.243,5.484,4.458,3,47,0.6,NA,NA,NA,0,"31","F2"
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.881,6.314,6.398,6.08,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"376",160,190,0.0054,31,NA,NA,NA,NA,21,4.493,NA,1.288,2.213,2.152,2.46,2,33,0.64,2.554,1.37,NA,0,"15","F2"
"206",168,195,0.0074,34.5,1.504,1.8522167488,1.504,0.812,24,NA,0,2.193,4.081,4.24,4.351,1,38,0.63,2.9,1.238,0,0,"8","F2"
"1059",156,174,NA,26.5,1.186,1.5834445928,1.52,0.749,15,NA,0.334,1.574,2.643,2.778,4.242,1,29,0.52,NA,NA,0.28,3,"41","F2"
"971",167,188,NA,36,NA,NA,NA,NA,21,NA,NA,1.896,3.131,3.504,3.487,1,40,0.53,3.036,1.358,NA,0,"38","F2"
"543",NA,NA,NA,NA,0.737,1.2685025818,1.186,0.581,NA,NA,0.449,1.1,2.476,2.754,3.214,NA,NA,NA,NA,NA,0.61,NA,"21","F2"
"501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.976,3.839,4.138,4.531,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.692,2.344,3.109,2.851,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"408",166,193,0.0094,37,1.706,2.0117924528,1.806,0.848,20,4.6781666667,0.1,2.496,3.51,3.12,3.538,0,36,0.56,NA,NA,0.06,0,"16","F2"
"933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.536,4.811,5.325,4.688,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.897,2.919,2.687,3.5,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.419,3.811,4.178,3.973,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"197",156,181,0.0108,28,2.547,1.9078651685,2.547,1.335,22,NA,0,3.675,4.932,5.583,5.216,2,38,0.58,NA,NA,0,1,"8","F2"
"97",167,189,NA,28,1.669,2.0279465371,1.841,0.823,21,NA,0.172,2.517,3.648,3.808,3.558,2,35,0.6,2.985,1.277,0.1,NA,"4","F2"
"1072",167,193,0.0128,41,NA,NA,NA,NA,19,NA,NA,1.756,3.058,3.234,2.669,3,42,0.45,NA,NA,NA,0,"42","F2"
