"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"424",167,185,NA,23,1.28,1.7089452603,1.395,0.749,20,NA,0.115,1.918,3.503,3.458,3.86,3,28,0.71,NA,NA,0.09,2,"17","F2"
"573",166,195,NA,32.5,1.461,1.5427666315,1.96,0.947,25,NA,0.499,2.403,3.442,3.753,3.964,3,35,0.71,NA,NA,0.34,1,"23","F2"
"529",160,182,0.0174,34,1.39,1.5207877462,1.944,0.914,21,NA,0.554,2.26,4.049,3.749,4.938,3,37,0.57,NA,NA,0.4,0,"21","F2"
"987",179,203,0.0112,NA,NA,NA,NA,NA,15,NA,NA,2.644,3.586,3.721,3.014,0,35,0.43,3.649,1.455,NA,0,"38","F2"
"554",162,190,0.0228,26.5,NA,NA,NA,NA,19,NA,NA,2.393,4.517,4.514,4.646,4,30,0.63,NA,NA,NA,3,"22","F2"
"480",166,195,NA,26.5,NA,NA,NA,NA,NA,NA,NA,1.313,2.222,1.249,2.98,NA,NA,NA,NA,NA,NA,NA,"19","F2"
"984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.156,1.377,1.778,NA,NA,NA,NA,NA,NA,NA,"38","F2"
"722",160,NA,0.0123,NA,NA,NA,NA,NA,24,NA,NA,2.099,2.845,2.944,3.352,1,46,0.52,NA,NA,NA,0,"28","F2"
"450",156,193,0.0178,50,2.538,1.6104060914,3.063,1.576,30,5.3891,0.525,4.146,6.799,6.073,5.006,3,46,0.65,NA,NA,0.21,0,"18","F2"
"1090",167,195,0.0239,43,NA,NA,NA,NA,17,NA,NA,1.838,3.3,2.845,3.477,3,43,0.4,NA,NA,NA,0,"42","F2"
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.791,5.617,5.985,5.694,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"895",172,193,0.0066,33.5,NA,NA,NA,NA,19,NA,NA,1.572,2.671,3.269,3.501,2,34,0.56,2.424,1.14,NA,0,"35","F2"
"1098",162,178,0.0101,17.5,NA,NA,NA,NA,10,NA,NA,1.436,3.468,3.204,3.981,2,21,0.48,2.627,1.355,NA,0,"43","F2"
"680",170,195,0.0193,42.5,NA,NA,NA,NA,24,NA,NA,2.14,3.372,3.444,4.082,3,46,0.52,2.713,1.191,NA,0,"27","F2"
"792",160,176,NA,22.5,NA,NA,NA,NA,13,NA,NA,1.731,2.416,2.496,3.418,5,26,0.5,NA,NA,NA,0,"31","F2"
"843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.086,2.676,3.192,3.89,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1053",162,181,0.0269,21,1.455,1.9297082228,1.507,0.754,15,NA,0.052,1.83,4.161,4.338,4.449,3,21,0.71,NA,NA,0.04,2,"41","F2"
"1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.834,4.88,4.995,5.952,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"701",160,190,NA,37,NA,NA,NA,NA,19,NA,NA,1.545,3.764,5.29,4.272,3,34,0.56,NA,NA,NA,0,"27","F2"
"1002",167,187,0.0075,29,1.215,1.7185289958,1.372,0.707,15,NA,0.157,2.044,2.878,2.586,3.189,1,35,0.43,2.673,1.018,0.13,2,"39","F2"
"522",168,190,0.0211,32,1.254,1.4397244546,1.552,0.871,22,NA,0.298,1.778,3.245,3.411,4.012,4,36,0.61,2.747,1.285,0.24,1,"21","F2"
"341",159,178,0.0124,29,NA,NA,NA,NA,23,NA,NA,1.621,3.427,3.407,3.953,2,34,0.68,NA,NA,NA,0,"14","F2"
