ID,DNA,RADseq_pool_100bp,RADseq_pool_150bp,Adapter_100bp,Adapter_150bp,W.S,CSr,P.H,L.L,L.W,Pti,Lam,LLW,P.L,L.M,N.L,S.H,Gsh,Ssh,SLD,Gen,B.T,F.T,SLL,SLW,Pet,FSr,Rot,Sht,RSR,RD1,RD2,RD3,RD4,Replanted,Block,Tray,Cross,TrayBlock
896,23.4,18,18,12,12,0.0064,1,29,NA,NA,NA,NA,NA,NA,NA,23,33,1,1,0.7,F2,160,187,NA,NA,NA,NA,NA,NA,NA,2.312,2.887,3.519,2.997,NA,NA,35,3,35
465,39.1,40,40,5,5,NA,1,NA,1.316,0.709,0.394,0.922,1.300423,0.43,2,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.466,2.28,2.409,2.412,NA,NA,18,2,18
620,12.7,13,13,1,1,NA,1,NA,1.3,0.638,0.321,0.979,1.534483,0.33,2,19,31,NA,3,0.61,F2,182,NA,2.537,1.114,NA,NA,NA,NA,NA,1.258,3.037,3.138,3.277,NA,NA,24,2,24
448,16.1,23,23,9,9,0.0175,1,25,1.983,1.155,0.185,1.798,1.55671,0.1,1,19,24,NA,14,0.79,F2,152,173,NA,NA,4.7425,NA,NA,NA,NA,2.282,4.147,4.092,5.02,NA,NA,18,2,18
71,21.5,NA,51,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0095,0.0324,0.29320988,2.247,4.434,4.683,4.664,NA,3,NA,NA,3
80,22,37,37,14,14,NA,1,40,1.623,1.006,NA,1.623,1.61332,NA,1,33,31,NA,3,1.06,F2,158,187,NA,NA,NA,NA,NA,NA,NA,2.906,3.735,3.906,4.972,NA,NA,4,2,4
580,28.4,40,40,2,2,0.0118045454545452,1,38.5,1.681,0.904,NA,1.681,1.859513,NA,1,22,37,NA,2,0.59,F2,167,NA,NA,NA,NA,NA,NA,NA,NA,1.508,2.305,2.813,2.966,NA,NA,23,3,23
563,20.1,32,32,9,9,0.000542045454545443,1,43,NA,NA,NA,NA,NA,NA,NA,24,45,NA,3,0.53,F2,161,193,NA,NA,NA,NA,NA,NA,NA,2.453,3.765,3.033,4.547,NA,NA,22,2,22
132,11.8,21,21,9,9,0.0105397727272725,1,28,1.505,0.743,0.37,1.135,1.527591,0.33,1,21,30,2,3,0.7,F2,165,187,2.3385,1.2745,NA,NA,NA,NA,NA,1.702,3.94,3.995,3.37,NA,NA,6,3,6
205,17.3,3,3,3,3,NA,1,NA,1.084,0.62,0.18,0.904,1.458065,0.2,2,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.297,2.286,2.274,NA,NA,NA,8,3,8
709,37.6,44,44,7,7,0.0147,1,NA,NA,NA,NA,NA,NA,NA,NA,17,27,2,2,0.63,F2,165,NA,NA,NA,NA,NA,NA,NA,NA,1.547,2.557,2.703,3.462,NA,NA,28,2,28
596,14.2,37,37,20,20,0.0187306818181814,1,33,1.66,0.839,0.398,1.262,1.504172,0.32,2,23,37,2,3,0.62,F2,168,193,NA,NA,NA,NA,NA,NA,NA,1.794,3.645,3.844,3.516,NA,NA,23,3,23
165,38.3,34,34,12,12,NA,1,40,2.647,1.397,0.13,2.517,1.801718,0.05,1,30,40,3,5,0.75,F2,158,193,NA,NA,NA,NA,NA,NA,NA,3.372,5.742,6.045,6.018,NA,NA,7,2,7
320,12.5,6,6,12,12,0.000782954545454529,1,NA,2.277,1.063,0.651,1.626,1.529633,0.4,1,22,42,NA,NA,0.52,F2,170,202,2.817,1.455,6.223,NA,NA,NA,NA,2.4,3.787,3.844,3.476,NA,NA,13,2,13
148,13.3,36,36,18,18,0.0042,1,39,0.991,0.511,NA,0.991,1.939335,NA,1,21,34,NA,1,0.62,F2,167,193,NA,NA,NA,NA,NA,NA,NA,1.189,2.029,2.125,2.17,NA,NA,6,3,6
824,17.3,37,NA,15,NA,0.000782954545454529,1,26,NA,NA,NA,NA,NA,NA,NA,18,23,1,5,0.78,F2,170,193,2.624,0.9645,NA,NA,NA,NA,NA,1.606,2.732,2.76,3.186,NA,NA,32,2,32
190,13.3,32,32,13,13,0.0065,1,43,1.636,0.738,0.15,1.486,2.01355,0.1,1,18,40,1,3,0.45,F2,172,197,3.407,1.528,NA,NA,NA,NA,NA,1.932,4.24,3.732,NA,NA,NA,8,3,8
